vx_in,vy_in,vx_out,vy_out,rim_dist_in,rim_dist_out,angle_in,angle_out,type_in,type_out,path
-7.54259,8.487375762,-1.41885,-6.86675,-24.38,-11.52,-49.79,78.02,high,normal,project_videos\high\Normal\20231116_211200000_iOS.MOV
13.15436242,16.73295729,0.3156574969,-11.9568,23.04,15.77,54.25,-88.59,high,normal,project_videos\high\Normal\20231116_211202000_iOS.MOV
-15.8389,16.20486818,-1.89922,-6.24755,-24.61,-11.63,-46.72,73,high,normal,project_videos\high\Normal\20231116_211209000_iOS.MOV
-8.09204,9.054803424,-3.23055,-8.34952,-25.17,-13.42,-48.45,69.19,high,normal,project_videos\high\Normal\20231116_211221000_iOS.MOV
-14.7651,16.99813522,-1.45519,-4.56397,-23.83,-10.85,-50.83,72.25,high,normal,project_videos\high\Normal\20231116_211308000_iOS.MOV
-8.74749,10.61857434,-2.90302,-9.62098,-21.36,-10.51,-51.27,73.17,high,normal,project_videos\high\Normal\20231116_211322000_iOS.MOV
-6.4223,8.651745927,-1.28797,-8.48785,-22.71,-11.86,-54.06,81.28,high,normal,project_videos\high\Normal\20231116_211349000_iOS.MOV
-7.51678,9.408445,-1.11933,-7.16593,-20.47,-9.62,-51.24,81.08,high,normal,project_videos\high\Normal\20231116_211403000_iOS.MOV
11.54362416,13.77993663,-1.40169,-7.04998,13.2,8.39,53.39,79.03,high,pocket,project_videos\high\Pocket\20231116_211211000_iOS.MOV
7.400854179,9.43042011,-5.95996,-6.07838,6.71,10.63,50.98,46.08,high,pocket,project_videos\high\Pocket\20231116_211230000_iOS.MOV
-7.19501,8.789586012,1.848506803,-8.61372,-1,-8.84,-51.45,-78.73,high,pocket,project_videos\high\Pocket\20231116_211241000_iOS.MOV
10.21166753,11.23902542,-1.72163,-6.40467,-1,-1,50.24,75.44,high,pocket,project_videos\high\Pocket\20231116_211253000_iOS.MOV
13.95973154,18.04657975,-1.09638,-5.69819,12.64,11.63,52.27,79.39,high,pocket,project_videos\high\Pocket\20231116_211311000_iOS.MOV
7.248322148,9.27252,-1.97896,-8.93201,12.86,10.96,51.41,78.74,high,pocket,project_videos\high\Pocket\20231116_211324000_iOS.MOV
13.69127517,15.96042709,-2.40274,-4.27153,5.26,8.05,51.21,60.62,high,pocket,project_videos\high\Pocket\20231116_211328000_iOS.MOV
13.42281879,16.92879721,-0.97326,-6.26961,13.76,13.42,52.14,82.1,high,pocket,project_videos\high\Pocket\20231116_211330000_iOS.MOV
11.70748714,14.15810399,-2.99049,-7.39982,6.94,8.95,53.11,68.66,high,pocket,project_videos\high\Pocket\20231116_211340000_iOS.MOV
12.08053691,15.20495904,-1.94511,-4.18873,6.94,9.73,51.25,65.78,high,pocket,project_videos\high\Pocket\20231116_211343000_iOS.MOV
-6.98112,5.704018863,-1.29747,-5.62636,-17.9,-6.82,-39.15,76.94,medium,normal,project_videos\medium\Normal\20231116_210252000_iOS.MOV
-6.38628,5.437296121,-1.17182,-3.21235,-23.04,-11.41,-43.94,69.58,medium,normal,project_videos\medium\Normal\20231116_210300000_iOS.MOV
-11.8534,10.57138166,-1.35858,-3.44235,-17.79,-8.84,-43.81,68.42,medium,normal,project_videos\medium\Normal\20231116_210307000_iOS.MOV
-6.22855,6.146926731,-2.39513,-5.58035,-22.71,-10.85,-45.36,67.14,medium,normal,project_videos\medium\Normal\20231116_210316000_iOS.MOV
-15.1219,14.10090426,-1.32739,-5.7523,-19.69,-9.96,-44.5,77.16,medium,normal,project_videos\medium\Normal\20231116_210351000_iOS.MOV
-15.0336,14.42244335,-4.23388,-8.33778,-28.19,-11.97,-45.53,63.86,medium,normal,project_videos\medium\Normal\20231116_210402000_iOS.MOV
7.311525164,7.129789747,1.8715759,-8.57471,23.83,15.44,48.03,-77.97,medium,normal,project_videos\medium\Normal\20231116_210405000_iOS.MOV
-16.1074,13.22545267,-1.32163,-5.77986,-19.46,-8.72,-42.86,77.3,medium,normal,project_videos\medium\Normal\20231116_210412000_iOS.MOV
-9.30097,8.973427105,-1.61372,-9.08387,-21.03,-9.73,-43.67,79.67,medium,normal,project_videos\medium\Normal\20231116_210426000_iOS.MOV
7.552916882,7.798349485,2.628685961,-7.54442,22.93,14.77,46.31,-71.42,medium,normal,project_videos\medium\Normal\20231116_210434000_iOS.MOV
8.865944,8.141552417,0.1135343141,-5.79214,16.33,9.84,43.47,-88.62,medium,normal,project_videos\medium\Normal\20231116_210440000_iOS.MOV
-8.72555,7.794151953,1.126018484,-8.15142,-7.94,-5.37,-42.62,-82.84,medium,pocket,project_videos\medium\Pocket\20231116_210238000_iOS.MOV
9.813113,9.934379108,-1.19238,-4.39195,10.29,7.38,49.59,74.91,medium,pocket,project_videos\medium\Pocket\20231116_210246000_iOS.MOV
7.612549314,8.78643518,-1.74966,-2.5237,5.82,8.28,52.57,54.49,medium,pocket,project_videos\medium\Pocket\20231116_210309000_iOS.MOV
15.46413318,12.57040322,-0.9876,-5.60367,11.3,7.72,42.66,80.19,medium,pocket,project_videos\medium\Pocket\20231116_210358000_iOS.MOV
-8.13429,7.267070136,2.543590055,-5.77554,-12.3,-10.74,-42.09,-66.84,medium,pocket,project_videos\medium\Pocket\20231116_210406000_iOS.MOV
8.54852083,7.261124893,-1.37438,-7.55521,10.74,7.38,40.28,79.43,medium,pocket,project_videos\medium\Pocket\20231116_210418000_iOS.MOV
7.746749894,7.463068258,-3.00648,-5.98698,11.07,11.41,44.27,63.54,medium,pocket,project_videos\medium\Pocket\20231116_210429000_iOS.MOV
9.515652133,8.058524741,-2.49091,-6.54672,9.06,6.71,41.13,69.7,medium,pocket,project_videos\medium\Pocket\20231116_210431000_iOS.MOV
16.37583893,15.70808611,-2.54341,-5.01659,-1,-1,43.63,63.38,medium,pocket,project_videos\medium\Pocket\20231116_210448000_iOS.MOV
-7.38415,6.138016325,-0.26197,-8.94339,-16.55,-9.4,-41.34,88.22,medium,vertical,project_videos\medium\Vertical\20231116_210226000_iOS.MOV
9.532547989,9.828374,-0.11977,3.080886672,13.98,7.83,49.07,-88.38,medium,vertical,project_videos\medium\Vertical\20231116_210233000_iOS.MOV
6.30571197,7.451814674,-0.10839,3.364075415,14.43,10.07,50.85,-87.79,medium,vertical,project_videos\medium\Vertical\20231116_210253000_iOS.MOV
9.368282724,10.31345424,-0.28875,-9.24502,16.67,9.51,48.59,,medium,vertical,project_videos\medium\Vertical\20231116_210303000_iOS.MOV
4.768535016,5.938895534,-0.70982,-8.52878,12.53,8.05,50.94,85.89,medium,vertical,project_videos\medium\Vertical\20231116_210312000_iOS.MOV
5.063235225,6.192193325,0.1097636961,7.326202522,15.21,9.17,51.54,89.34,medium,vertical,project_videos\medium\Vertical\20231116_210318000_iOS.MOV
9.880164578,9.736913,1.277938233,-8.36756,15.44,10.4,47.23,-81.07,medium,vertical,project_videos\medium\Vertical\20231116_210348000_iOS.MOV
8.449054301,8.860633952,1.129616534,-8.68387,17.45,8.72,47.59,-82.4,medium,vertical,project_videos\medium\Vertical\20231116_210353000_iOS.MOV
-13.1648,11.36300706,-0.59135,-6.64271,-18.34,-7.83,-42.14,84.72,medium,vertical,project_videos\medium\Vertical\20231116_210356000_iOS.MOV
-8.41195,7.50816023,-0.36983,-3.58158,-15.44,-7.94,-42.53,,medium,vertical,project_videos\medium\Vertical\20231116_210443000_iOS.MOV
8.670077126,7.434821689,0.559472111,-7.76931,14.77,8.84,44.6,-85.32,medium,vertical,project_videos\medium\Vertical\20231116_210451000_iOS.MOV
4.792709479,3.628822696,0.7324858651,-4.00063,10.74,6.26,37.8,-79.08,low,normal,project_videos\low\Normal\20231116_210025000_iOS.MOV
9.478319509,7.086126442,1.0350654,-5.11493,15.88,7.72,38.43,-78.4,low,normal,project_videos\low\Normal\20231116_210032000_iOS.MOV
-10.3905,7.163093443,-2.62344,-3.35738,-27.29,-10.51,-37.01,52.46,low,normal,project_videos\low\Normal\20231116_210035000_iOS.MOV
-16.9128,10.03296275,-6.90652,-3.32761,-1,-1,-31.67,25.78,low,normal,project_videos\low\Normal\20231116_210045000_iOS.MOV
7.731036391,4.003083,4.41837915,-3.64015,-1,-1,27.76,-39.07,low,normal,project_videos\low\Normal\20231116_210048000_iOS.MOV
-8.95706,5.090138,-7.22941,-5.47411,-40.27,-14.65,-29.73,37.47,low,normal,project_videos\low\Normal\20231116_210051000_iOS.MOV
14.2517096,7.231601749,3.631176243,-3.21306,-1,-1,26.86,-41.75,low,normal,project_videos\low\Normal\20231116_210053000_iOS.MOV
-15.6992,8.506390882,-3.8672,-3.63943,-32.44,-6.04,-28.09,42.87,low,normal,project_videos\low\Normal\20231116_210056000_iOS.MOV
16.64650391,8.603171974,2.895473979,-3.7477,-1,-1,27.96,-52.32,low,normal,project_videos\low\Normal\20231116_210059000_iOS.MOV
-9.98019,5.975575289,-7.88331,-4.92044,-48.43,-21.81,-29.6,31.99,low,normal,project_videos\low\Normal\20231116_210102000_iOS.MOV
9.136723189,5.051035356,4.661970758,-9.23228,19.69,7.05,29.88,-63.02,low,normal,project_videos\low\Normal\20231116_210105000_iOS.MOV
-14.7031,9.362178445,-3.28187,-2.78022,-32.33,-10.96,-32.67,39.37,low,normal,project_videos\low\Normal\20231116_210107000_iOS.MOV
14.46760521,7.550760326,3.884593046,-6.84799,18.46,5.93,28.65,-59.52,low,normal,project_videos\low\Normal\20231116_210110000_iOS.MOV
-16.8205,9.964459713,-4.91223,-6.68289,-26.62,-7.83,-31.85,53.83,low,normal,project_videos\low\Normal\20231116_210113000_iOS.MOV
-8.28293,5.693202849,0.906258,-3.5683,-10.63,-6.38,-35.04,-75.88,low,pocket,project_videos\low\Pocket\20231116_210028000_iOS.MOV
5.052151492,3.611693034,0.1271422239,-1.6894,-1,-1,37.02,-84.66,low,vertical,project_videos\low\Vertical\20231116_210019000_iOS.MOV